Forecast comparison report: original vs improved
==========================================================================================

SIDE-BY-SIDE FORECAST NUMBERS
------------------------------------------------------------------------------------------
  model               period   country_group            direction   old        new        abs_diff     pct_diff
  Seasonal naive      2026-09  Schengen/EL/EMP/CH      inbound     41,552    39,762       1,790      -4.31%
  Seasonal naive      2026-09  Schengen/EL/EMP/CH      outbound    42,811    40,376       2,435      -5.69%


VALIDATION METRICS (improved pipeline only)
------------------------------------------------------------------------------------------
  model               group_class             direction       RMSE        MAE       MAPE(%)   n_obs  folds
  ----------------------------------------------------------------------------------------
  Holt-Winters        3rd countries           inbound      10135.86    8392.85      18.26     36      6
  Holt-Winters        3rd countries           outbound     12400.20   10296.61      22.70     36      6
  Holt-Winters        ALL                     ALL           9623.27    7571.23      16.88    144      6
  Holt-Winters        Schengen/EL/EMP/CH      inbound       8311.22    6510.27      15.16     36      6
  Holt-Winters        Schengen/EL/EMP/CH      outbound      6697.21    5085.20      11.41     36      6
  Linear regression   3rd countries           inbound      31374.53   28885.73      62.86     36      6
  Linear regression   3rd countries           outbound     27555.44   26355.73      62.86     36      6
  Linear regression   ALL                     ALL          22993.01   19929.06      45.86    144      6
  Linear regression   Schengen/EL/EMP/CH      inbound      13598.82   12376.00      28.87     36      6
  Linear regression   Schengen/EL/EMP/CH      outbound     13642.69   12098.78      28.82     36      6
  Seasonal naive      3rd countries           inbound      13492.93   11587.15      27.00     36      6
  Seasonal naive      3rd countries           outbound     15860.79   14822.42      34.57     36      6
  Seasonal naive      ALL                     ALL          14775.66   12914.87      29.38    144      6
  Seasonal naive      Schengen/EL/EMP/CH      inbound      14804.28   12736.64      27.96     36      6
  Seasonal naive      Schengen/EL/EMP/CH      outbound     14848.91   12513.28      27.97     36      6


PLAIN-LANGUAGE SUMMARY
------------------------------------------------------------------------------------------
Best model by validation is Holt-Winters (overall MAPE=16.88%, MAE=7571.23, RMSE=9623.27).
Across 72 rows, the average absolute change is 4266.08 persons and average absolute percent change is 10.39%. Largest row change is 19,169 persons for Seasonal naive / 3rd countries / outbound / 2026-08.
